,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_psi_2,params_psi_3,params_rho,user_attrs_metrics,system_attrs_nsga2:generation,state
10,10,0.9507515850117737,inf,2024-05-20 00:04:27.836818,2024-05-20 00:04:29.686309,0 days 00:00:01.849491,1.0095923861788998,16.859549966266098,0.08239214874025225,27.198783098975394,"{'AUC_ROCs': [0.9530806589589567, 0.955577709277403, 0.9435963867989617], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.6305347790475935, 1.592979291221127, 1.6069566195365041]}",0,COMPLETE
11,11,0.8967132431709515,0.3602275438700686,2024-05-20 00:04:29.692895,2024-05-20 00:04:31.616328,0 days 00:00:01.923433,0.1553447563101543,0.20554336159854214,0.33026255943995864,1.256291394838542,"{'AUC_ROCs': [0.9013080621970933, 0.904284070647435, 0.8845475966683262], 'S_relative_errors': [0.37041669289976403, 0.3445739006968973, 0.36569203801354433], 'X_relative_errors': [1.3170877171748518, 1.3087544784357077, 1.3046096259850277], 'Sparsity': [0.05411428571428571, 0.054318367346938776, 0.05346122448979592], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.0022309170699564666, 0.0017643064142119332, 0.0018559759755149726], 'dual_residual': [0.0022309170699564666, 0.0017643064142119332, 0.0018559759755149726], 'times': [1.6273515834473073, 1.6264500522520393, 1.6727464457508177]}",0,COMPLETE
12,12,0.9644145730405667,0.253382083121452,2024-05-20 00:04:31.619731,2024-05-20 00:04:33.279061,0 days 00:00:01.659330,0.0005381864007055792,0.006576418468202916,33.342162851110416,0.00016205387158758428,"{'AUC_ROCs': [0.9668020772373161, 0.9680264932529102, 0.9584151486314736], 'S_relative_errors': [0.2594379621258953, 0.24168092315950115, 0.2590273640789595], 'X_relative_errors': [0.9667477368482937, 0.9648605208370816, 0.9673524565114772], 'Sparsity': [0.29085714285714287, 0.26317551020408164, 0.3056816326530612], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [3.594032957816943, 3.5219792568581334, 3.6306019007489243], 'dual_residual': [3.594032957816943, 3.5219792568581334, 3.6306019007489243], 'times': [1.4409833764657378, 1.4108866634778678, 1.4241113066673279]}",0,COMPLETE
13,13,0.8446242954854531,0.17337042535615946,2024-05-20 00:04:33.286001,2024-05-20 00:04:34.990053,0 days 00:00:01.704052,0.0016233389016074163,0.5201750432769933,38.671019573234304,6.998733765841363e-05,"{'AUC_ROCs': [0.8461878219402063, 0.8493443983875233, 0.83834066612863], 'S_relative_errors': [0.17796831742546987, 0.16818529958307785, 0.17395765905993069], 'X_relative_errors': [0.7834443195515653, 0.7825434899735415, 0.7885785276844971], 'Sparsity': [0.04661224489795918, 0.04686530612244898, 0.04706122448979592], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [10.386113908534433, 9.981245868877506, 10.313302161962882], 'dual_residual': [10.386113908534433, 9.981245868877506, 10.313302161962882], 'times': [1.4255214016884565, 1.4668299888726324, 1.42624677461572]}",0,COMPLETE
14,14,0.5,1.0,2024-05-20 00:04:34.999356,2024-05-20 00:04:36.675097,0 days 00:00:01.675741,0.004553239250278571,0.014464397174317939,0.004500185768341274,1.687775105624209e-05,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [1.0, 0.9999999999999998, 1.0], 'X_relative_errors': [1.166270367227415, 1.2119335374511473, 1.1645165705178988], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [34.044238770181536, 34.58763949094398, 34.89132837958094], 'dual_residual': [34.044238770181536, 34.58763949094398, 34.89132837958094], 'times': [1.3932779447641224, 1.4138525263406336, 1.466954507632181]}",0,COMPLETE
15,15,0.5,1.0,2024-05-20 00:04:36.680754,2024-05-20 00:04:38.311823,0 days 00:00:01.631069,0.17294875455312061,0.018274282525637134,0.0439344968915093,1.9838782519846205e-05,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [1.0, 0.9999999999999998, 1.0], 'X_relative_errors': [1.1646219690847766, 1.2092339272465655, 1.1650178488166723], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [34.06987325770054, 34.62676223452865, 34.88341771580577], 'dual_residual': [34.06987325770054, 34.62676223452865, 34.88341771580577], 'times': [1.4292231311555952, 1.4277773511130363, 1.4198082680813968]}",0,COMPLETE
16,16,0.9640470015064001,0.2560871783870771,2024-05-20 00:04:38.315921,2024-05-20 00:04:40.029047,0 days 00:00:01.713126,0.23835931167156327,0.0033592873378023753,0.0018888964252787247,0.07759164566236892,"{'AUC_ROCs': [0.9669701312267197, 0.9677072381511221, 0.9574636351413582], 'S_relative_errors': [0.2623332698644514, 0.24410552658686455, 0.26182273870991546], 'X_relative_errors': [0.9711266878921442, 0.9686909825644461, 0.9716075088947029], 'Sparsity': [0.3199183673469388, 0.29898775510204084, 0.33146938775510204], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [3.3486634420728594, 3.328616555699199, 3.3888678545366058], 'dual_residual': [3.3486634420728594, 3.328616555699199, 3.3888678545366058], 'times': [1.4637906134594232, 1.4461418078280985, 1.4746261965483427]}",0,COMPLETE
17,17,0.9683723913729315,0.2749490056677606,2024-05-20 00:04:40.033259,2024-05-20 00:04:41.695459,0 days 00:00:01.662200,0.00524302505060321,0.009965462338164675,0.01127089127348695,0.39511735465401154,"{'AUC_ROCs': [0.971787636279853, 0.9722640542599105, 0.961065483579031], 'S_relative_errors': [0.28124546302986286, 0.2632886300626294, 0.2803129239107896], 'X_relative_errors': [0.9999999918757771, 0.9999999931614494, 0.999999995666445], 'Sparsity': [0.994930612244898, 0.9949632653061224, 0.9959346938775511], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.0015352064484877041, 0.001448614572530864, 0.0013150411753325754], 'dual_residual': [0.0015352064484877041, 0.001448614572530864, 0.0013150411753325754], 'times': [1.435279528144747, 1.443114444380626, 1.4481304814107716]}",0,COMPLETE
18,18,0.5,1.0,2024-05-20 00:04:41.701744,2024-05-20 00:04:43.357901,0 days 00:00:01.656157,4.060283851698614,0.3564616403597116,0.003413245317617848,0.00026794240848170974,"{'AUC_ROCs': [0.5, 0.5, 0.5], 'S_relative_errors': [1.0, 0.9999999999999998, 1.0], 'X_relative_errors': [1.1621182101108456, 1.209087442446405, 1.166942331158262], 'Sparsity': [0.0, 0.0, 0.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [34.108703480805616, 34.628881333736956, 34.85299916025839], 'dual_residual': [34.108703480805616, 34.628881333736956, 34.85299916025839], 'times': [1.3899295281153172, 1.4207439925521612, 1.4354348990600556]}",0,COMPLETE
19,19,0.9534522534743077,inf,2024-05-20 00:04:43.369191,2024-05-20 00:04:45.419132,0 days 00:00:02.049941,9.097769505650213,3.7315570249372696,0.035870336882194175,12.252693932045018,"{'AUC_ROCs': [0.9563190614421467, 0.9563843545744359, 0.9476533444063404], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.6087679802440107, 1.6200703079812229, 1.8083041915670037]}",0,COMPLETE
